message,label
Holy living christ what is taking you so long,not_spam
You were chosen for a special government grant.,spam
Your payment failed. Update your card at this link.,spam
Your library hold is ready to collect.,not_spam
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spam
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,spam
Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,not_spam
So wats ur opinion abt him and how abt is character?,not_spam
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",spam
We have a special offer on coffee for club members.,not_spam
A payment is waiting for you. Verify your identity.,spam
We need to confirm your details before sending your prize.,spam
Noice. Text me when you're here,not_spam
"If you want to mapquest it or something look up \usf dogwood drive\""",not_spam
So how are you really. What are you up to. How's the masters. And so on.,not_spam
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam
2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,spam
Download this app to receive your prize.,spam
Kinda. First one gets in at twelve! Aah. Speak tomo,not_spam
Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,not_spam
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,spam
"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",spam
"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",not_spam
"Yes but i dont care! I need you bad, princess!",not_spam
Then ur physics get a-?,not_spam
Hope you are having a great day.,not_spam
Important: your subscription will renew unless you cancel here.,spam
I hope you know I'm still mad at you.,not_spam
My flight arrives at 8:15 on Saturday.,not_spam
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam
You have an unclaimed balance. Sign in now.,spam
I found a good deal on train tickets for the trip.,not_spam
Win a new car by completing a short survey.,spam
"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL",spam
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam
U too...,not_spam
08714712388 between 10am-7pm Cost 10p,spam
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam
"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",spam
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,not_spam
You are one click away from a free vacation.,spam
Claim your bonus cash by clicking the link.,spam
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",not_spam
I sent you the calendar invite for Friday.,not_spam
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",not_spam
ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,not_spam
Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,spam
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam
URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
We need to reschedule our meeting for tomorrow.,not_spam
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,not_spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",spam
I HAVE A DATE ON SUNDAY WITH WILL!!,not_spam
Secret shopper opportunity pays instantly.,spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,spam
One small prestige problem now.,not_spam
Is there any movie theatre i can go to and watch unlimited movies and just pay once?,not_spam
"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",spam
Urgent account notice. Click to prevent suspension.,spam
Yeah it's jus rite...,not_spam
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam
Ok. C u then.,not_spam
"Not much, just some textin'. How bout you?",not_spam
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,not_spam
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,spam
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",not_spam
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam
Your loan has been approved. Send details to release funds.,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
Don't forget we're meeting at 6 tonight.,not_spam
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam
Finally the match heading towards draw as your prediction.,not_spam
"There're some people by mu, I'm at the table by lambda",not_spam
"Doing nothing, then u not having dinner w us?",not_spam
You have been selected for a $500 gift card.,spam
On the road so cant txt,not_spam
I dont want to hear philosophy. Just say what happen,not_spam
Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,not_spam
I went to project centre,not_spam
Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,not_spam
"Same, I'm at my great aunts anniversary party in tarpon springs",not_spam
"Yeah I am, so I'll leave maybe 7ish?",not_spam
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,not_spam
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam
Pls accept me for one day. Or am begging you change the number.,not_spam
FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,spam
"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921",spam
Get instant access to secret discounts.,spam
Your refund from the bookstore has been processed.,not_spam
88066 FROM 88066 LOST 3POUND HELP,spam
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg å£1.50",spam
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam
"I'll text carlos and let you know, hang on",not_spam
The streaming subscription renews next week.,not_spam
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam
Same as kallis dismissial in 2nd test:-).,not_spam
You won a voucher. Enter your card number to activate it.,spam
"Sorry, I can't text &amp; drive coherently, see you in twenty",not_spam
Hi..i got the money da:),not_spam
No current and food here. I am alone also,not_spam
K da:)how many page you want?,not_spam
And whenever you and i see we can still hook up too.,not_spam
The deadline for the essay was extended.,not_spam
"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",not_spam
"Yo, the game almost over? Want to go to walmart soon",not_spam
Reply now and receive a surprise gift.,spam
Sorry da thangam.it's my mistake.,not_spam
No da..today also i forgot..,not_spam
Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,spam
WHO ARE YOU SEEING?,not_spam
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,spam
Well I might not come then...,not_spam
Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,not_spam
We found money owed to you. Submit a claim.,spam
First answer my question.,not_spam
Your reserved book is available at the library.,not_spam
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",not_spam
"Me not waking up until 4 in the afternoon, sup",not_spam
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",spam
The bookstore has a coupon for 10 percent off textbooks.,not_spam
Congratulations on being our millionth visitor.,spam
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,not_spam
You were approved to join the volunteer program.,not_spam
Low rates available today. Apply before midnight.,spam
Your reward points are about to expire. Redeem now.,spam
Okie,not_spam
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",spam
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
"Aight, lemme know what's up",not_spam
You can download the assignment template from Canvas.,not_spam
This investment has guaranteed returns.,spam
The lab computer needs a security update from IT.,not_spam
Your reward is a thank-you card from the team.,not_spam
Make $500 a day using your phone.,spam
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
I will send the photos after dinner.,not_spam
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,spam
Ugh just got outta class,not_spam
Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.,not_spam
The class group chat has the link to the slides.,not_spam
"Well, I meant as opposed to my drunken night of before",not_spam
Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,spam
Your application was selected for the next interview round.,not_spam
"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam
Act now to receive your exclusive reward.,spam
Are you driving or training?,not_spam
At WHAT TIME should i come tomorrow,not_spam
Earn a bonus for every friend you invite.,spam
Yup i shd haf ard 10 pages if i add figures... ÌÏ all got how many pages?,not_spam
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",spam
Can we move our call to 4:30?,not_spam
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,spam
sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,spam
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123""",spam
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,spam
87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,spam
My account password needs to be changed this month.,not_spam
"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",spam
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",not_spam
Do u noe wat time e place dat sells 4d closes?,not_spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
Win big cash prizes every week. Join now.,spam
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),spam
Your package was delivered to the front desk.,not_spam
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
Cheap flights available now. Pay today to reserve.,spam
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,spam
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,not_spam
Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,spam
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,not_spam
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,spam
You have won a luxury cruise for two.,spam
I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,not_spam
We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Your mailbox is full. Upgrade storage through this link.,spam
CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,spam
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,not_spam
Arun can u transfr me d amt,not_spam
U meet other fren dun wan meet me ah... Muz b a guy rite...,not_spam
FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam
You have an unpaid toll. Settle it now to avoid penalties.,spam
Huh i cant thk of more oredi how many pages do we have?,not_spam
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,not_spam
Claim your complimentary meal voucher.,spam
Your profile has been selected for a private offer.,spam
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,spam
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam
We are offering a free lunch during orientation.,not_spam
Thank god they are in bed!,not_spam
"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",not_spam
"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",spam
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",spam
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,spam
Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,spam
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam
Please pay the utility bill before Friday.,not_spam
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,not_spam
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",spam
Click here to register for the free coding workshop.,not_spam
XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,spam
I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,not_spam
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,not_spam
This offer is not available to the public.,spam
Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,not_spam
INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,spam
Congratulations on winning the hackathon!,not_spam
Our club is offering free tutoring this week.,not_spam
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906,spam
Your shipping address needs confirmation. Update it here.,spam
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam
Open this attachment to see your reward.,spam
"Sorry, I can't help you on this.",not_spam
Ok try to do week end course in coimbatore.,not_spam
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,not_spam
Captain is in our room:),not_spam
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
Final notice: your prize expires today.,spam
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam
Urgent: update your billing information now.,spam
Congratulations! Your email was selected for a reward.,spam
There is a cash prize for the science fair winner.,not_spam
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,not_spam
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",not_spam
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,spam
The student government grant application opens Monday.,not_spam
We confirm eating at esplanade?,not_spam
I think chennai well settled?,not_spam
You have been chosen as the discussion leader.,not_spam
"Theoretically yeah, he could be able to come",not_spam
It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900),not_spam
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
Yup ok thanx...,not_spam
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,not_spam
Important security alert: confirm your password here.,spam
WINNER! Click now to collect your prize.,spam
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam
